catalogNumber	scientificName	associatedTaxa	kingdom	phylum	class	order	family	genus	specificEpithet	Comments
159460256	Eurychasma dicksonii	Pylaiella littoralis	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Acinetosporaceae	Pylaiella	littoralis	
207080368	Eurychasma dicksonii	Pylaiella littoralis	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Acinetosporaceae	Pylaiella	littoralis	
313573499	Eurychasma dicksonii	Pylaiella littoralis	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Acinetosporaceae	Pylaiella	littoralis	
313573500	Eurychasma dicksonii	Pylaiella littoralis	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Acinetosporaceae	Pylaiella	littoralis	
313573502	Eurychasma dicksonii	Pylaiella littoralis	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Acinetosporaceae	Pylaiella	littoralis	
338798246	Eurychasma dicksonii	Pylaiella littoralis	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Acinetosporaceae	Pylaiella	littoralis	
207080365	Eurychasma dicksonii	Ectocarpus	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Ectocarpaceae	Ectocarpus		
207080366	Eurychasma dicksonii	Ectocarpus	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Ectocarpaceae	Ectocarpus		
207080367	Eurychasma dicksonii									
207080369	Eurychasma dicksonii									
207080370	Eurychasma dicksonii									
313573494	Eurychasma dicksonii	Acinetospora	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Acinetosporaceae	Acinetospora		
313573495	Eurychasma dicksonii	Ectocarpus	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Ectocarpaceae	Ectocarpus		
313573496	Eurychasma dicksonii	Ectocarpus	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Ectocarpaceae	Ectocarpus		
313573497	Eurychasma dicksonii	Ectocarpus	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Ectocarpaceae	Ectocarpus		
313573498	Eurychasma dicksonii	Ectocarpus	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Ectocarpaceae	Ectocarpus		
313573501	Eurychasma dicksonii	Ectocarpus	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Ectocarpaceae	Ectocarpus		
313573503	Eurychasma dicksonii	Ectocarpus	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Ectocarpaceae	Ectocarpus		
313573504	Eurychasma dicksonii	Hincksia	Chromista	Ochrophyta	Phaeophyceae	Ectocarpales	Ectocarpaceae	Hincksia		
1021315821	Amoeboaphelidium	Graesiella	Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales incertae sedis	Graesiella		
40644659	Pirsonia diadema	Coscinodiscus granii	Chromista	Bacillariophyta	Bacillariophyceae	Coscinodiscales	Coscinodiscaceae	Coscinodiscus	granii	
2063303656	Lagenisma coscinodisci	Coscinodiscus concinnus	Chromista	Bacillariophyta	Bacillariophyceae	Coscinodiscales	Coscinodiscaceae	Coscinodiscus	concinnus	
1131301327	Paraphelidium letcheri	Tribonema gayanum	Chromista	Ochrophyta	Xanthophyceae	Tribonematales	Tribonemataceae	Tribonema	gayanum	
1148298729	Aphelidium desmodesmi	Desmodesmus armatus	Plantae	Chlorophyta	Chlorophyceae	Sphaeropleales	Scenedesmaceae	Desmodesmus	armatus	
6523844	Parvilucifera infectans	Protoperidinium	Chromista	Myzozoa	Dinophyceae	Peridiniales	Protoperidiniaceae	Protoperidinium		
1290271192	Volvorax ingoldii	Yamagishiella unicocca	Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Volvocaceae	Yamagishiella	unicocca	
1290271195	Volvorax ingoldii	Yamagishiella unicocca	Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Volvocaceae	Yamagishiella	unicocca	
1290271194	Algomyces stechlinensis	Yamagishiella unicocca	Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Volvocaceae	Yamagishiella	unicocca	
1290271197	Algomyces stechlinensis	Yamagishiella unicocca	Plantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Volvocaceae	Yamagishiella	unicocca	
40644657	Pirsonia guinardiae	Guinardia flaccida	Chromista	Bacillariophyta	Bacillariophyceae	Rhizosoleniales	Rhizosoleniaceae	Guinardia	flaccida	
13160651	Cryothecomonas aestivalis	Guinardia delicatula	Chromista	Bacillariophyta	Bacillariophyceae	Rhizosoleniales	Rhizosoleniaceae	Guinardia	delicatula	
1597587352	Amoebophrya	Scrippsiella acuminata	Chromista	Myzozoa	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	Scrippsiella	acuminata	
1268561495	Pontisma heterosiphoniae	Heterosiphinia pulchra	Plantae	Florideophyceae	Bangiophyceae	Bangiales	Bangiaceae	Pyropia	yezoensis	
1693864506	Labyrinthula diatomea	Cylindrotheca closterium	Chromista	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Cylindrotheca	closterium	
409193800	Amoeboaphelidium protococcarum									
40644656	Pirsonia formosa	Leptocylindrus danicus	Chromista	Bacillariophyta	Bacillariophyceae	Leptocylindrales	Leptocylindraceae	Leptocylindrus	danicus	
40644654	Pirsonia formosa	Guinardia delicatula	Chromista	Bacillariophyta	Bacillariophyceae	Rhizosoleniales	Rhizosoleniaceae	Guinardia	delicatula	
40644655	Pirsonia formosa	Eucampia zodiacus	Chromista	Bacillariophyta	Bacillariophyceae	Hemiaulales	Hemiaulaceae	Eucampia	zodiacus	
40644661	Pseudopirsonia mucosa	Rhizosolenia imbricata	Chromista	Bacillariophyta	Bacillariophyceae	Rhizosoleniales	Rhizosoleniaceae	Rhizosolenia	imbricata	
161958534	Pontisma porphyrae	Pyropia yezoensis	Plantae	Rhodophyta	Bangiophyceae	Bangiales	Bangiaceae	Pyropia	yezoensis	
13160648	Cryothecomonas longipes									
40644660	Pirsonia punctigera	Thalassiosira punctigera	Chromista	Bacillariophyta	Bacillariophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	punctigera	
597718360	Dinomyces arenysensis	Alexandrium minutum	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Alexandrium	minutum	based on cross infection assays with two strains of Dinomyces arenysensis 
597718361	Dinomyces arenysensis	Alexandrium minutum	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Alexandrium	minutum	based on cross infection assays with two strains of Dinomyces arenysensis 
597718362	Dinomyces arenysensis	Alexandrium minutum	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Alexandrium	minutum	based on cross infection assays with two strains of Dinomyces arenysensis 
597718363	Dinomyces arenysensis	Alexandrium minutum	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Alexandrium	minutum	based on cross infection assays with two strains of Dinomyces arenysensis 
597718364	Dinomyces arenysensis	Alexandrium minutum	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Alexandrium	minutum	based on cross infection assays with two strains of Dinomyces arenysensis 
597718366	Dinomyces arenysensis	Alexandrium minutum	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Alexandrium	minutum	based on cross infection assays with two strains of Dinomyces arenysensis 
597718367	Dinomyces arenysensis	Alexandrium minutum	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Alexandrium	minutum	based on cross infection assays with two strains of Dinomyces arenysensis 
597718368	Dinomyces arenysensis	Alexandrium minutum	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Alexandrium	minutum	based on cross infection assays with two strains of Dinomyces arenysensis 
597718369	Dinomyces arenysensis	Alexandrium minutum	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Alexandrium	minutum	based on cross infection assays with two strains of Dinomyces arenysensis 
597718370	Dinomyces arenysensis	Alexandrium minutum	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Alexandrium	minutum	based on cross infection assays with two strains of Dinomyces arenysensis 
597718365	Dinomyces gilberthii	Alexandrium minutum	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Alexandrium	minutum	based on cross infection assays with two strains of Dinomyces arenysensis 
597718371	Dinomyces gilberthii	Alexandrium minutum	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Alexandrium	minutum	based on cross infection assays with two strains of Dinomyces arenysensis 
665900285	Rozellomycota	Aulacoseira ambigua	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	ambigua	cell surface of the diatom Aulacoseira ambigua from surface water sample
665900286	Rozellomycota	Aulacoseira ambigua	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	ambigua	cell surface of the diatom Aulacoseira ambigua from surface water sample
1933067148	Rozellomycota	Aulacoseira ambigua	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	ambigua	cell surface of the diatom Aulacoseira ambigua from surface water sample
1933067150	Rozellomycota	Aulacoseira ambigua	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	ambigua	cell surface of the diatom Aulacoseira ambigua from surface water sample
1933067203	Rozellomycota	Aulacoseira ambigua	Chromista	Bacillariophyta	Bacillariophyceae	Aulacoseirales	Aulacoseiraceae	Aulacoseira	ambigua	cell surface of the diatom Aulacoseira ambigua from surface water sample
