Species	FullInfo
Algomyces stechlinensis	"Algomyces stechlinensis S. Van den Wyngaert, K. Rojas & K. Seto. MycoBank MB825143. Journal of Eukaryotic Microobiology 65: 870â€“881. 2018
Parasite; Eudorina elegans; Lake Stechlin; GERMANY"
Amoeboaphelidium occidentale	"Amoeboaphelidium occidentale Letcher [Aphelidida, Aphelididae]Â MycoBank No.: MB807628; GenBank accession: KJ541118. Mycologia 107: 522â€“521. 2015. Parasite;Â on Scenedesmus dimorphus from an outdoor pond used for the cultivation ofÂ algae;Â 10 miles west of Las Cruces,Â New Mexico, UNITED STATES."
Apiochytrium granulosporum	"Apiochytrium granulosporum Karpov & Moreira MycoBank no.: 827964. Journal of Eukaryotic Microbiology 66: 582â€“5591. 2018
Parasite of Tribonema gayanum; small pond in Kuty village, Leningrad Province, RUSSIA"
Arnaudovia hyponeustonica	"Arnaudovia hyponeustonica Valkanov (no Latin diagnosis); Arch. Protistenk., 106: 553â€“564, Pls. 40â€“43. 1963. = Polyphagus hyponeustonica (Valkanov) Karling 1977
Parasitic; Phacotus, Trachelomonas, Strombomonas spp.; ditch; Longoza, BULGARIA"
Blastocladiella anabaenae	"Blastocladiella anabaenae Canter & Willoughby; Journ. Roy. Micr. Soc., Ser. 3, 83: 365â€“372, Pls. 159â€“162. 1964
Parasitic; Anabaena flos-aquae & A. circinalis; Lake Windermere plankton; E.L.D., UNITED KINGDOM."
Blyttiomyces harderi	"Blyttiomyces harderi Sparrow & I.J. Dogma; Arch. Mikrobiol., 89: 177â€“204, fig. 3, Aâ€“I. 1973
Parasitic; Rhizophlyctis rosea; soil; Santo Domingo, DOMNICAN REPUBLIC"
Blyttiomyces lenis	"Blyttiomyces lenis S.N. Dasgupta & R. John; Bull. Bot. Surv. INDIA, 30: 1â€“82, fig. 42. 1988
Parasitic; zygospore of Spirogyra; ditch, Sultanpur Road, SE of Lucknow U., INDIA"
Blyttiomyces rhizophlyctidis	"Blyttiomyces rhizophlyctidis I.J. Dogma; Mycologia, 61: 1149â€“1158, figs. 1â€“21. 1969
Parasitic; Rhizophlyctis rosea; soil sample from Petersburg, VIRGINIA, USA"
Catenaria auxiliaris	"Catenaria auxiliaris (KĂĽhn) Tribe; Trans. Brit. Mycol. Soc., 69: 367â€“376. 1977
Parasitic; Heterodera (nematodes); soil; ENGLAND, UNITED KINGDOM; ? Tarichium auxiliare KĂĽhn pro parte 1881"
Catenaria ramosa	"Catenaria ramosa W. Martin; Mycologia, 70: 461â€“467, figs. 3â€“6. 1978
=Nematoceromyces ramosus (W.W. Martin) Doweld. Index Fungorum no. 48 2014
Parasitic; midge eggs (Dicrotendipes modestus); Streams; VIRGINIA, USA"
Catenaria spinosa	"Catenaria spinosa W. Martin; Mycologia, 67: 264â€“272, figs. 1â€“15. 1975
=Nematoceromyces spinosus (W.W. Martin) Doweld. Index Fungorum no. 48 2014
Parasitic; chironomid eggs; small stream; VIRGINIA, USA"
Catenaria uncinata	"Catenaria uncinata W. Martin; Mycologia, 70: 461â€“467, figs. 1,2,7,8. 1978
=Nematoceromyces uncinatus (W.W. Martin) Doweld. Index Fungorum no. 48 2014
Parasitic; midge eggs (Glyptotendipes lobiferus); lakes and ponds, VIRGINIA, USA"
Catenaria vermicola	"Catenaria vermicola Birchfield; Mycopathol. Mycol. Appl. 13: 331â€“338, figs. 1â€“3. 1960
Parasitic; plant parasitic nematodes (Xiphinema chambersi); soil; Shreveport, LOUISIANA, USA"
Caulochytrium gloeosporii	"Caulochytrium gloeosporii Voos & Olive Mycologia, 60: 730â€“733, figs. 1â€“5. 1968; also see Voos: Amer. J. Bot., 56: 898â€“909. 1969. Parasitic; Gloeosporium sp. on dead leguminous pods; near Miami, FLORIDA, USA"
Caulochytrium protostelioides	"Caulochytrium protostelioides Olive; Amer. J. Bot., 67: 568â€“574, figs. 1â€“24. 1980
Parasitic; Cladosporium sp. on dead flowers; St. Vincent, BRITISH WEST INDIES"
Caulochytrium protosteloides var. vulgaris	"Caulochytrium protosteloides var. vulgaris Olive; Mycologia, 75: 923â€“926, figs. 1â€“10. 1983
Parasitic; mycelia and perithecia of Sordaria fimicola; horse dung; Highlands, NORTH CAROLINA, USA"
Chytridium deltanum	"Chytridium deltanum Masters; Canad. J. Bot., 49: 471â€“481, figs. 2â€“4. 1971
Parasitic; Oocystis spp.; phytoplankton; Lake Manitoba, CANADA"
Chytridium horariumforme	"Chytridium horariumforme S.N. Dasgupta & R. John Bull. Bot. Surv. INDIA, 30: 1â€“82, fig. 51. 1988
Parasitic; oospore of Spirogyra; ditch, Sultanpur Road, SE of Lucknow U., INDIA"
Chytridium hyperparasiticum	"Chytridium hyperparasiticum Kobayasi & Konno; Bull. Natl. Sci. Mus., 14: 1â€“18, fig. 2 B. 1971
Parasitic; sporangium of Rhizophlyctis rosea; soil in water, Angmagssalik, GREENLAND"
Chytridium isthmiophilum	"Chytridium isthmiophilum Canter; Trans. Brit. Mycol. Soc., 43: 660â€“664, fig. 1. 1960
Parasitic; Staurodesmus curvatus (desmid); plankton, lakes; E.L.D., UNITED KINGDOM
â‰ˇ Diplochytridium isthmiophilum (Canter) Karling; Arch. Mikrobiol., 76: 126â€“131. 1971"
Chytridium mallomonadis	"Chytridium mallomonadis Fott; Preslia, 29: 278â€“319, fig. 11: 1â€“4. 1957
Parasitic; Mallomonadis tonsuratae resting spores; pond; Prague, central BOHEMIA
â‰ˇ Diplochytridium mallomonadis (Fott) Karling; Arch. Mikrobiol., 76: 126â€“131. 1971
W.H. Blackwell et al. 2002 disagree. See: Mycotaxon 83: 183â€“190"
Chytridium telmatoskenae	"Chytridium telmatoskenae Fott; Preslia 29: 278-319, fig. 11: 5â€“10. 1957
Parasitic; Telmatoskene mucosa; pond; Volary, central BOHEMIA"
Chytriomyces cosmarii	"Chytriomyces cosmarii Karling; Sydowia 20: 119â€“128, figs. 1â€“7. 1967
Parasitic; Cosmarium spp.; soil; hillside sheep paddock, Taita, NEW ZEALAND"
Chytriomyces gilgaiensis	"Chytriomyces gilgaiensis Willoughby; Arch. Mikrobiol. 52: 101â€“131, fig. 6 aâ€“l. 1965
Parasitic; Nowakowskiella crassa; soil; gilgai depression, VICTORIA, AUSTRALIA"
Chytriomyces heliozoicola	"Chytriomyces heliozoicola Canter; Trans. Brit. Mycol. Soc. 49: 633â€“638, fig. 1. 1966
Parasitic; Raphidiocystis lemani in plankton of lakes; E.L.D., UNITED KINGDOM."
Chytriomyces laevis	"Chytriomyces laevis Karling; Nova Hedwigia 44: 137â€“139, figs. 1â€“18. 1987
Parasitic; Pythium; soil, stream bank; PANAMA"
Chytriomyces mortierellae	"Chytriomyces mortierellae Persiel; Arch. Mikrobiol. 36: 283â€“305, figs. 6,7. 1960
Parasitic; Mortierella; soil sample; summit of Piz Buin, AUSTRIA"
Chytriomyces nagatoroensis	"Chytriomyces nagatoroensis Konno Sci. Rep. Tokyo Kyoiku Daigaku Sect. B 14: 227â€“292, Pl. 4, fig. X. 1972
Parasitic-weak; Spirogyra sp.; water?; Nagatoro (Saitama Prefecture), JAPAN"
Chytriomyces reticulatus	"Chytriomyces reticulatus Persiel; Arch. Microbiol. 36: 283â€“305, fig. 8. 1960
Parasitic; Pythium proliferum; soil; flower pot; Gottingen, GERMANY"
Chytriomyces reticulosporus	"Chytriomyces reticulosporus I.J. Dogma; Philipp. J. Biol. 12: 385â€“408, figs. 10â€“21. 1983
Parasitic; Phlyctochytrium punctatum; cultivated soils; Luzon, PHILIPPINES"
Chytriomyces rhizidiomycetis	"Chytriomyces rhizidiomycetis (IF 5:282) I.J. Dogma Philipp. J. Biol. 12: 385â€“408, figs. 1â€“9. 1983
Parasitic; Rhizidiomyces bivellatus; cultivated soils; PHILIPPINES & JAPAN"
Chytriomyces verrucosus	"Chytriomyces verrucosus Karling; Bull. Torrey Bot. Club 87: 326â€“336, figs. 19A-19K. 1960
Parasitic; Karlingia rosea; soil; Lafayette, INDIANA, USA"
Collimyces mutans	"Collimyces mutans Â K. Seto & Y. Degawa, Â MycoBank no.: 823274. Protist 169: 507â€“520. 2018
Parasitic on Microglena (green alga); pond, Kashiwa Bireji Mizube Park (Omuro, Kashiwa, CHIBA, JAPAN)"
Dangeardia echinulata	"Dangeardia echinulata A. Batko; Acta Mycol., 6: 407â€“435, figs. 6-20. 1970.
Parasitic; Vitreochlamys (Sphaerellopsis) aulata; pool near Vistula River, Warsaw,Â POLAND"
Dangeardia sporapiculata	"Dangeardia sporapiculata Geitler; Sydowia, 16: 324â€“330, figs. 1â€“2. 1963.
Parasitic; Chlamydomonas palmaloid stage; lake near Lunz; AUSTRIA"
Dangeardia sporapiculata var. minor	"Dangeardia sporapiculata var. minor Geitler (? no type); Oesterr. Bot. Z., 112: 603â€“609, 1965.
Parasitic; Heleochloridis pallidae; soil: Schladming,Â AUSTRIA"
Dangeardiana eudorinae	"Dangeardiana eudorinae Valkanov (no Latin diagnosis) Arch. Mikrobiol., 48: 239â€“246, figs. 1-12. 1964.
Parasitic; oospores of Eudorina elegans; water; Sofia, Bulgaria
?  Dangeardiana eudorinae Valkanov ex A. Batko; Acta Mycol., 6: 407-435. 1970"
Dictyomorpha dioica	"Dictyomorpha dioica Couch ex Mullins; Amer. J. Bot., 48: 377â€“387, figs. 1â€“37. 1961
Parasitic; Oomycetes; Mirror Lake, Highlands, NC, USA ? Pringsheimiella dioica Couch 1939"
Dictyomorpha dioica var. pythiensis	"Dictyomorpha dioica var. pythiensis N. Sarkar & R. Dayal Proc. Natl. Acad. Sci. India, Sect. B, 58: 403â€“406 figs. 1â€“10. 1988
Parasitic; Pythium aphanidermatum; Kurukshetra Pond, Varanasi, U.P., INDIA"
Dinomyces arenysensis	"Dinomyces arenysensis Karpov & Guillou. MycoBank no.: 807621. Protist, 165: 230â€“244. 2014
Parasitic; dinophytes especially Alexandrium spp.; marine, Arenys de Mar harbour, Mediterranean Sea, SPAIN"
Entophlyctis molesta	"Entophlyctis molesta Canter; J. Roy. Microscop. Soc. London, 84: 549â€“557, figs. 1-4. 1965
?Parasitic; Stylosphaeridium stipitatum; phytoplankton; English lakes, U.K. ? Dangeardia molesta (Canter) A. Batko 1975"
Entophlyctis reticulospora	"Entophlyctis reticulospora P. Cook; Trans. Brit. Mycol. Soc., 49: 545â€“550, Pls. 28-29. 1966;
Parasitic; Closterium moniliferum et al.; swampy area; Cheboygan Co., MICHIGAN, USA"
Ericiomyces syringoforeus	"Ericiomyces syringoforeus Karpov et ReĂ±Ă©. MycoBank MB836467. Mycological Progress 20:95â€“109. 2021
Parasite; dinoflagellates especially Kryptoperidium spp.Â  KĂ¶kar, Ă…land Archipelago (northern Baltic Sea), FINLAND"
Mesochytrium penetrans	"Mesochytrium penetrans Gromov, B. V., Mamkaeva, K.A., and Pljusch, A.V. Nova Hedwigia 71: 151â€“160. 2000; Parasitic; Chlorococcum minutum; small lake, Karelia; RUSSIAemend Karpov Persoonia 32: 115â€“126. 2014"
Micromyces furcata	"Micromyces furcata Rieth; Kulturpflanze, Beiheft 3: 286â€“295, Pl. 2 Aâ€“H. 1962;
Parasitic; Spirogyra longata; Stechlinsee region; GERMANY"
Nephridiophaga javanicae	"Nephridiophaga javanicae Strassert and Radek. MycoBank 837478. scientific reports (2021) 11:396, Fig.2
Parasitic; Malpighian tubules of cockroach, insectarium of Aquarium Berlin, Madagascar. Suggested to be allied to the Cladochytridiales based on rDNA operon analyses."
Nephridiophaga postici	"Nephridiophaga postici Strassert and Radek. MycoBank 837477. scientific reports (2021) 11:396, Fig.1
Parasitic; Malpighian tubules of cockroach, insectarium of Aquarium Berlin. Suggested to be allied to the Cladochytridiales based on rDNA operon analyses."
Olpidium cucurbitacearum	"Olpidium cucurbitacearum D.J.S. Barr and Dias; Canad. J. Bot. 46: 1087â€“1091, figs. 1â€“12 & 13â€“22. 1968;
Parasitic; cucumber roots; soil; southern ONTARIO, CANADA
= Olpidium radicale 1977 as redescribed, Lange & Insunza; Trans. Brit. Mycol. Soc. 69: 377â€“384. 1977"
Olpidium incognitum	"Olpidium incognitum S.N. Dasgupta & R. John; Bull. Bot. Surv. India 30: 1â€“82, figs. 5â€“6. 1988;
Parasitic; egg of rotifer; tank sediment; Lucknow U., INDIA"
Olpidium indicum	"Olpidium indicum Karling (homonym); Sydowia 17: 302â€“307, figs. 1â€“21. 1964;
Parasitic; Catenophlyctis variabilis & Rhizophlyctis fuscus; soil; Rhamnad Dist., INDIA;
Îž Olpidium indum Karling 1966"
Olpidium indicum	"Olpidium indicum Kiran & Dyal (homonym & type not indicated); Proc. Natl. Acad. Sci, India, Sect. B. 62: 295â€“298, fig. 2. 1992;
Parasitic; root hairs of angiosperms; Pond; Ramkatora, Varanasi, U.P., INDIA"
Olpidium longum	"Olpidium longum S.N. Dasgupta & R. John; Bull. Bot. Surv. India 30: 1â€“82, figs. 2â€“4. 1988;
Parasitic; eggs of animicules; tank sediment; Lucknow U., INDIA"
Olpidium poreferum	"Olpidium poreferum Kiran and Dyal (invalid; type not designated) Proc. Natl. Acad. Sci., India, Sect. B. 62: 295â€“298, Pl. 1, fig. 1. 1992;
Parasitic; rotifers; Pond, Ag. Farm; B.H.U., U.P., INDIA"
Olpidium pseudoeuglenae	"Olpidium pseudoeuglenae S.N. Dasgupta & R. John; Bull. Bot. Surv. India 30: 1â€“82, fig. 7. 1988;
Parasitic; chytrid on Closterium; tank sediment; Lucknow U., INDIA"
Olpidium sparrowii	"Olpidium sparrowii I.J. Dogma; Philipp. J. Biol. 6: 9â€“20, figs. 1â€“16. 1977; table of Olpidium spp. parasitic on rotifers;
Parasitic; rotifer eggs; cultivated soils; Putiao, Luzon, PHILIPPINES"
Olpidium synchytrii	"Olpidium synchytrii Karling; Mycologia 50: 944â€“947, figs. 1â€“7. 1958;
Parasitic; Synchytrium namae on Nama jamaicensis plants; TEXAS, USA"
Olpidium vermicola	"Olpidium vermicola G.L. Barron & E. Szijarto; Mycologia 78: 972â€“975, figs. 1â€“12. 1986;
Parasitic; nematode eggs; old stump; Lake Manitowabing, ONTARIO, CANADA"
Paramicrosporidium saccamoebae	Paramicrosporidium saccamoebae Corsaro et al. MycoBank no.: 807392. Parasitol Res 113: 1909–1918. 2014 parasitic, Saccamoeba sp., freshwater pond, GERMANY
Paramicrosporidium vannellae	Paramicrosporidium vannellae Corsaro et al. MycoBank no.: 807393. Parasitol Res 113: 1909–1918. 2014, parasitic, Vannella sp., keratitis patient, GERMANY
Paraphysoderma sedebokerense	"Paraphysoderma sedebokerense Boussiba, Zarka & T. James.Â  MB#561751. Mycotaxon 118:177â€“180.Â  2011
Parasite; non-motile Haematococcus pluvialis"
Phlyctidium apophysatum	"Phlyctidium apophysatum Canter 1947 emended by H. Canter; Trans. Brit. Mycol. Soc. 44: 522â€“528, figs. 1â€“3 & Pl. 34, figs.1-10. 1961;
Parasitic; Mougeotia; E.L.D., U.K. Îž Canteria apophysata (Canter) Karling 1971"
Phlyctidium scenedesmi	"Phlyctidium scenedesmi Fott; Z. Allg. Mikrobiol. 7: 97â€“102, figs. 1â€“16. 1967;
Parasitic; Scenedesmus quadricauda in mass culture; water; Trebon, CZECHOSLOVAKIA;
Îž Rhizophydium scenedesmi (Fott) Karling; CI, p. 65. 1977"
Phlyctochytrium macrosporum	"Phlyctochytrium macrosporum Sparrow; Mycologia 70: 140â€“149, figs. 1â€“14. 1978;
Parasitic?; live pine pollen; neuston; Newnanâ€™s Lake, FLLORIDA, USA"
Phlyctochytrium parasitans	"Phlyctochytrium parasitans Sparrow & I.J. Dogma; Arch. Mikrobiol. 89: 177â€“204, fig. 2, Tâ€“U. 1973;
Parasitic; eggs of Achlya flagellata; damp soil; Carretara Duarte, HISPANIOLA"
Pleotrachelus bornovanus	"Pleotrachelus bornovanus Sahtiyanci; Arch. Mikrobiol. 41: 187â€“228, figs. 50â€“79. 1962;
Parasitic; Lactuca, Spinacea, Beta, Nicotiana, Solanum et al.; soil; Îž Olpidium bornovanus (Sahtiyanci) Karling; CI, p. 13. 1977; = O. radicale (sensu Lange & Insunza 1977); = O. cucurbitacearum D.J.S. Barr & Dias 1968. See Campbell & Sim; Canad. J. Bot. 72: 1136â€“1143. 1994."
Pleotrachelus virulentus	"Pleotrachelus virulentus Sahtiyanci; Arch. Mikrobiol. 41: 187â€“228, figs. 24â€“49. 1962;
Parasitic; Lactuca, Solanum, Beta, Nicotiana, Capsella; Îž Olpidium virulentus (Sahtiyanci) Karling; CI, p. 13. 1977"
