catalogNumber	Title	bibliographicCitation	identifier	creator
49066425  A molecular phylogeny of the flagellated fungi (Chytridiomycota) and description of a new phylum (Blastocladiomycota)  Mycologia 98 (6), 860-871 (2006)  https://doi.org/10.1080/15572536.2006.11832616  James,T.Y. Letcher,P.M. Longcore,J.E. Mozley-Standridge,S.E. Porter,D. Powell,M.J. Griffith,G.W. Vilgalys,R.
62866643	A molecular phylogeny of the flagellated fungi (Chytridiomycota) and description of a new phylum (Blastocladiomycota)	Mycologia 98 (6), 860-871 (2006)	https://doi.org/10.1080/15572536.2006.11832616	James,T.Y. Letcher,P.M. Longcore,J.E. Mozley-Standridge,S.E. Porter,D. Powell,M.J. Griffith,G.W. Vilgalys,R.
62866654	A molecular phylogeny of the flagellated fungi (Chytridiomycota) and description of a new phylum (Blastocladiomycota)	Mycologia 98 (6), 860-871 (2006)	https://doi.org/10.1080/15572536.2006.11832616	James,T.Y. Letcher,P.M. Longcore,J.E. Mozley-Standridge,S.E. Porter,D. Powell,M.J. Griffith,G.W. Vilgalys,R.
62866661	A molecular phylogeny of the flagellated fungi (Chytridiomycota) and description of a new phylum (Blastocladiomycota)	Mycologia 98 (6), 860-871 (2006)	https://doi.org/10.1080/15572536.2006.11832616	James,T.Y. Letcher,P.M. Longcore,J.E. Mozley-Standridge,S.E. Porter,D. Powell,M.J. Griffith,G.W. Vilgalys,R.
62866676	A molecular phylogeny of the flagellated fungi (Chytridiomycota) and description of a new phylum (Blastocladiomycota)	Mycologia 98 (6), 860-871 (2006)	https://doi.org/10.1080/15572536.2006.11832616	James,T.Y. Letcher,P.M. Longcore,J.E. Mozley-Standridge,S.E. Porter,D. Powell,M.J. Griffith,G.W. Vilgalys,R.
82398170	A molecular phylogeny of the flagellated fungi (Chytridiomycota) and description of a new phylum (Blastocladiomycota)	Mycologia 98 (6), 860-871 (2006)	https://doi.org/10.1080/15572536.2006.11832616	James,T.Y. Letcher,P.M. Longcore,J.E. Mozley-Standridge,S.E. Porter,D. Powell,M.J. Griffith,G.W. Vilgalys,R.
82398277	A molecular phylogeny of the flagellated fungi (Chytridiomycota) and description of a new phylum (Blastocladiomycota)	Mycologia 98 (6), 860-871 (2006)	https://doi.org/10.1080/15572536.2006.11832616	James,T.Y. Letcher,P.M. Longcore,J.E. Mozley-Standridge,S.E. Porter,D. Powell,M.J. Griffith,G.W. Vilgalys,R.
82398549	A molecular phylogeny of the flagellated fungi (Chytridiomycota) and description of a new phylum (Blastocladiomycota)	Mycologia 98 (6), 860-871 (2006)	https://doi.org/10.1080/15572536.2006.11832616	James,T.Y. Letcher,P.M. Longcore,J.E. Mozley-Standridge,S.E. Porter,D. Powell,M.J. Griffith,G.W. Vilgalys,R.
108744660	A molecular phylogeny of the flagellated fungi (Chytridiomycota) and description of a new phylum (Blastocladiomycota)	Mycologia 98 (6), 860-871 (2006)	https://doi.org/10.1080/15572536.2006.11832616	James,T.Y. Letcher,P.M. Longcore,J.E. Mozley-Standridge,S.E. Porter,D. Powell,M.J. Griffith,G.W. Vilgalys,R.
108744678	A molecular phylogeny of the flagellated fungi (Chytridiomycota) and description of a new phylum (Blastocladiomycota)	Mycologia 98 (6), 860-871 (2006)	https://doi.org/10.1080/15572536.2006.11832616	James,T.Y. Letcher,P.M. Longcore,J.E. Mozley-Standridge,S.E. Porter,D. Powell,M.J. Griffith,G.W. Vilgalys,R.
311235629	A molecular phylogeny of the flagellated fungi (Chytridiomycota) and description of a new phylum (Blastocladiomycota)	Mycologia 98 (6), 860-871 (2006)	https://doi.org/10.1080/15572536.2006.11832616	James,T.Y. Letcher,P.M. Longcore,J.E. Mozley-Standridge,S.E. Porter,D. Powell,M.J. Griffith,G.W. Vilgalys,R.
1268561495	A new endoparasite Olpidiopsis heterosiphoniae sp. nov. that infects red algae in Korea	Algal research (2017) 28, 264-269	https://doi.org/10.1016/j.algal.2017.09.019	Klochkova,T.A. Kwak,M.S. Kim,G.H.
850543576	A new family and four new genera in Rhizophydiales (Chytridiomycota)	Mycologia, 107 (4), 2015	10.3852/14-280	Letcher,P.M. Powell,M.J. Davis,W.J.
850543606	A new family and four new genera in Rhizophydiales (Chytridiomycota)	Mycologia, 107 (4), 2015	10.3852/14-280	Letcher,P.M. Powell,M.J. Davis,W.J.
